author,Methodological research,Open source development,Clinical evidence generation,Open community data standards,paperCount
"Becich, M",0,1,0,1,2
"Beggs, J",0,0,0,2,2
"Berlin, J",2,0,0,0,2
"Bernarding, J",0,0,0,2,2
"Beyer, K",1,0,1,0,2
"Bhattacharjee, T",0,0,0,2,2
"Blaisure, J",0,0,0,2,2
"Bonù, M",0,0,2,0,2
"Boo, D",0,0,1,1,2
"Borghetti, P",0,0,2,0,2
"Bosca, D",0,0,1,1,2
"Bosma, G",0,0,2,0,2
"Bowring, M",0,0,2,0,2
"Boyle, D",0,0,0,2,2
"Bracons Cucó, G",0,0,0,2,2
"Bradley, D",0,0,0,2,2
"Brand, M",0,0,1,1,2
"Brandt, E",0,0,0,2,2
"Brandt, P",0,2,0,0,2
"Brash, J",0,0,2,0,2
"Breant, S",0,0,0,2,2
"Briganti, A",0,0,2,0,2
"Burkard, T",0,0,1,1,2
"Byford, R",0,0,1,1,2
"Byrd, J",1,0,1,0,2
"Cai, C",0,0,1,1,2
"Campi, R",0,0,2,0,2
"Campion, T",0,0,0,2,2
"Caparrós-Redondo, M",0,0,0,2,2
"Carceller, H",0,0,0,2,2
"Carini, S",1,0,0,1,2
"Carrell, D",1,0,0,1,2
"Carus, J",1,0,0,1,2
"Castano, V",1,0,1,0,2
"Ceusters, W",0,0,0,2,2
"Chai, Y",0,0,2,0,2
"Chakrabarti, S",2,0,0,0,2
"Chan You, S",0,0,2,0,2
"Chan, L",0,0,2,0,2
"Chang, T",0,0,1,1,2
"Chen, W",1,0,0,1,2
"Chen, X",0,0,1,1,2
"Chen, Z",1,0,0,1,2
"Cho, M",1,0,0,1,2
"Choe, S",2,0,0,0,2
"Choi, W",0,0,0,2,2
"Chuter, A",0,0,0,2,2
"Clausen, J",2,0,0,0,2
"Colborn, K",1,0,1,0,2
"Cook, M",0,0,2,0,2
"Crameri, K",0,0,0,2,2
"Cricelli, I",0,0,1,1,2
"Dal Co, G",0,0,1,1,2
"Datta, D",0,2,0,0,2
"Daza, J",0,0,2,0,2
"De La Iglesia-Vayá, M",0,0,0,2,2
"DeWitt, P",1,0,1,0,2
"Deans, K",0,0,0,2,2
"Defebvre, M",0,0,0,2,2
"Denham, A",1,0,1,0,2
"Denton, J",0,0,1,1,2
"Depas, N",0,0,0,2,2
"Dhruva, S",1,0,0,1,2
"Didden, E",0,0,1,1,2
"Dikilitas, O",1,0,0,1,2
"Dimitriadis, V",0,0,2,0,2
"Dobbins, N",0,1,0,1,2
"Dobson, R",0,0,0,2,2
"Dolan, L",0,0,2,0,2
"Domenech-Fernández, J",0,0,0,2,2
"Drakos, I",2,0,0,0,2
"Duan, R",2,0,0,0,2
"Duftschmid, G",0,0,0,2,2
"Dumontier, M",0,0,0,2,2
"Ebert, M",0,0,2,0,2
"Elbers, P",0,1,0,1,2
"Elhadad, N",0,1,0,1,2
"Elovici, Y",2,0,0,0,2
"Erpenbeck, M",0,1,0,1,2
"Essaid, S",0,0,0,2,2
"Evans, L",1,1,0,0,2
"Feng, Y",0,0,0,2,2
"Ficheur, G",0,0,0,2,2
"Fischer, P",0,1,0,1,2
"Fišter, K",0,0,2,0,2
"Fouladvand, S",1,0,1,0,2
"Fraboulet, C",0,0,2,0,2
"Franceschini, D",0,0,2,0,2
"Francesconi, P",0,0,1,1,2
"Frazier, R",0,2,0,0,2
"French, T",0,1,1,0,2
"Frid, S",0,0,0,2,2
"Friedman, C",2,0,0,0,2
"Gainer, V",1,0,0,1,2
"Galvan, Y",0,0,2,0,2
"Gao, J",2,0,0,0,2
"Gao, W",0,0,2,0,2
"García-García, F",0,0,0,2,2
"Garibaldi, B",1,0,1,0,2
"Garza, M",0,1,0,1,2
"Gebler, R",0,0,0,2,2
"Gentine, P",1,0,1,0,2
"Gersing, K",1,0,1,0,2
"Giangreco, N",0,2,0,0,2
"Glicksberg, B",0,2,0,0,2
"Goetz, K",0,0,1,1,2
"Gold, S",0,0,0,2,2
"Graber-Naidich, A",0,0,2,0,2
"Greenfield, J",0,0,0,2,2
"Greicius, M",0,0,2,0,2
"Griffon, N",0,0,0,2,2
"Guan, Y",0,0,2,0,2
"Guinney, J",1,0,1,0,2
"Gundler, C",1,0,0,1,2
"Guo, Y",0,2,0,0,2
"Gómez Rivas, J",1,0,1,0,2
"Gómez-Ádrian, J",0,0,0,2,2
"Gögenur, M",2,0,0,0,2
"Gött, R",0,0,0,2,2
"Günster, C",0,0,0,2,2
"Günther, A",0,1,0,1,2
"Haberson, A",0,0,0,2,2
"Hafeez, H",0,0,1,1,2
"Hague, C",0,0,1,1,2
"Hallinan, C",0,0,0,2,2
"Halvorsen, L",0,0,0,2,2
"Halvorson, A",0,0,2,0,2
"Hanauer, D",0,0,0,2,2
"Hanchrow, E",0,0,1,1,2
"Harle, C",0,0,2,0,2
"Harris, N",0,0,2,0,2
"Haverkamp, C",0,0,0,2,2
"Haynes, K",1,0,1,0,2
"He, X",0,0,2,0,2
