name	paperCount	firstYear
Larsen, R	2	2019
Lassalle, R	3	2020
Latorre Moreno, L	2	2024
Latorre-Millán, M	3	2024
Lau, W	7	2023
Laur, S	3	2022
Lauschensky, A	3	2024
Lautenbach, E	2	2022
Lavallee, M	2	2022
Lawrence, J	3	2021
Lazar, M	3	2024
Le Carrour, T	2	2022
Lea, D	2	2022
Lee, A	4	2021
Lee, C	2	2022
Lee, D	21	2020
Lee, E	6	2020
Lee, H	14	2020
Lee, J	14	2020
Lee, K	14	2021
Lee, N	2	2019
Lee, S	31	2017
Lee, Y	14	2021
Lehmann, H	5	2021
Lei, Y	3	2025
Leis, A	3	2024
Leprovost, D	2	2020
Leutner, L	2	2021
Levine, M	2	2018
Li, C	3	2023
Li, J	13	2020
Li, K	4	2022
Li, L	10	2018
Li, R	2	2020
Li, X	19	2013
Li, Y	7	2015
Li, Z	2	2019
Liang, C	5	2020
Liaw, S	8	2016
Libanati, C	2	2020
Lim, H	2	2020
Lin, A	2	2023
Lin, H	2	2018
Lin, V	2	2022
Lin, X	3	2023
Lingren, T	2	2019
Liu, C	8	2019
Liu, F	4	2021
Liu, H	13	2018
Liu, L	2	2021
Liu, M	3	2013
Liu, Q	2	2013
Liu, S	3	2020
Liu, Y	4	2018
Liyanage, H	2	2018
Lohur, L	3	2024
Londhe, A	2	2015
Lõo, M	2	2023
Loomba, J	2	2022
López-Blasco, R	2	2024
López-Güell, K	5	2023
Lorberbaum, T	3	2015
Lorman, V	2	2024
Loste, C	2	2024
Lovestone, S	2	2020
Lozano-Rubí, R	2	2023
Lu, Y	19	2018
Luo, C	4	2020
Luo, H	3	2023
Luo, Y	4	2019
Lupattelli, A	2	2024
Lymperidou, A	2	2024
Lynch, K	19	2019
Lyu, T	3	2022
Ma, Q	2	2015
Macdonald, C	2	2022
Machado, A	4	2022
Macho, P	2	2024
Madhira, V	2	2021
Madigan, D	41	2011
Madlock-Brown, C	3	2021
Magrini, S	2	2019
Maier, C	3	2018
Majeed, R	3	2020
Makadia, R	14	2014
Maljković, F	4	2022
Man, K	13	2018
Man, W	7	2024
Manna, A	5	2021
Markov, E	2	2023
Markus, A	9	2021
Marquardt, K	3	2018
Marsolo, K	2	2014
Marti, E	2	2022
Martin, B	3	2023
Martinez Roldan, J	3	2021
Martinez, A	5	2022
Martínez-González, J	2	2024
Martinez-Hernandez, E	2	2021
Masood, E	2	2022
Matcho, A	4	2014
Mate, S	3	2019
Mateu, L	3	2024
Matheny, M	30	2014
Mathew, S	2	2020
Mathioudakis, N	4	2023
Mayer, C	2	2023
Mayer, M	13	2022
Mayer-Davis, E	3	2021
